tweet,created_at
@GIBOLofficial pede banget timnas lolos dengan pelatih baru 😂,2025-01-18 09:04:43+00:00
"RT @idn_abroad: Update
Insha Allah 2 Pemain, yakni Meshaal Hamzah (CB) &amp; Iqbal Gwijangge (CB)

Untuk Meshaal santer nya ke NakhonPathom (ba…",2025-01-18 09:04:17+00:00
"Shin Tae-yong akan merilis buku autobiografi. Perjalanannya dengan Timnas Indonesia juga ada dalam terbitan itu.
#soccerodds_id #ringbet88 #TimnasIndonesia #shintaeyong https://t.co/s0rYvpiYe0",2025-01-18 09:04:00+00:00
RT @idextratime: 🚨 BREAKING: Mathew Baker (LB/15/🇮🇩) mengumumkan lewat Story akun Instagramnya bahwa ia tidak akan lanjut di timnas Indones…,2025-01-18 09:03:55+00:00
"@CTsubasa_indo ngl Morisaki ini yg menginspirasi gw waktu SD utk jd kiper, krna doi underrated tp somehow bsa lolos masuk timnas... sampai akhirnya jari manis gw patah pas SMP, dan gk jd kiper lg 😂",2025-01-18 09:03:42+00:00
"Update
Insha Allah 2 Pemain, yakni Meshaal Hamzah (CB) &amp; Iqbal Gwijangge (CB)

Untuk Meshaal santer nya ke NakhonPathom (based on @Indostransfer  sementara Iqbal Gwijangge dari source kami ada 2 yang mengincar 1 di Thai League 1, 1 lagi tim Thai League 2

https://t.co/f30QHOPwQ3 https://t.co/sc0wbzOJ2x",2025-01-18 09:03:32+00:00
"@idextratime Biar kalo timnas senior jelek, dia masih bisa balik ke timnas australia suatu saat nanti",2025-01-18 09:02:23+00:00
"@MafiaWasit Tim KKS Asuhan Coach Justin Kalah Telak 0-13 dari Timnas Indonesia U-17, Netizen Heboh
https://t.co/k08AmzSlLR",2025-01-18 09:02:20+00:00
RT @seniman_bola: Bung Erwin Fitriansyah: Dua kandidat pelatih timnas Indonesia yg lain selain Kluivert adalah Giovanni van Bronckhorst &amp; F…,2025-01-18 09:01:29+00:00
"RT @idextratime: Abis ke minimarket beli minuman, terus nemu ini guys,  Indomilk Steril dengan gambar pemain Timnas dan ada coach Shin Tae-…",2025-01-18 09:01:14+00:00
RT @idextratime: 🚨 BREAKING: Mathew Baker (LB/15/🇮🇩) mengumumkan lewat Story akun Instagramnya bahwa ia tidak akan lanjut di timnas Indones…,2025-01-18 09:01:01+00:00
"RT @skorindonesia: Selamat buat Timnas Putri Futsal! Semoga misi juara Grup B bisa dituntaskan, hari Minggu besok #breakingskor #pialasiafu…",2025-01-18 09:00:58+00:00
"Selamat buat Timnas Putri Futsal! Semoga misi juara Grup B bisa dituntaskan, hari Minggu besok #breakingskor #pialasiafutsalwanita2025 https://t.co/Dy8Y6m05HJ",2025-01-18 09:00:47+00:00
"Selamat buat Timnas Futsal Putri Indonesia.

Timnas Futsal Putri lolos ke Piala Asia Futsal Wanita 2025 yang akan diselenggarakan di China Mei mendatang. https://t.co/0gabxQBENl",2025-01-18 09:00:30+00:00
"@footbalicius @edwinsdinata Pake nanya poin nya apa wkwk, padahal didunia nyata udah dikasih contoh sama timnas junior angkatan evan dimas",2025-01-18 09:00:22+00:00
"Buku tentang mantan pelatih Timnas Indonesia, Shin Tae-yong, akan segera dirilis oleh media Asia, Goalpost Asia, dalam waktu dekat. Shin Tae-yong, yang dipecat PSSI pada Senin (6/1/2025), telah memberikan berbagai prestasi membanggakan selama lima tahun terakhir, seperti membawa… https://t.co/8CZzx55Ewb https://t.co/wv8GdlYm0Q",2025-01-18 09:00:17+00:00
"Sebagai persiapan untuk AFC U-20 di Tiongkok bulan depan, Timnas Indonesia U-20 akan melakukan 3 kali uji coba melawan Yordania, Suriah dan India dalam kemasan tajuk ""Mandiri U-20 Challenge Series"" di Gelora Delta, Sidoarjo https://t.co/vCZoujpWK5",2025-01-18 09:00:12+00:00
"Pelatih Timnas U-20 Indonesia, Indra Sjafri bicara soal target di ajang Piala Asia U-20 2025

Selengkapnya 👇
https://t.co/DwvHbGV1q2",2025-01-18 09:00:03+00:00
"Pelatih Timnas U-20 Indonesia, Indra Sjafri bicara soal target di ajang Piala Asia U-20 2025

Selengkapnya 👇
https://t.co/sjyImlUBVp",2025-01-18 09:00:01+00:00
Simak selengkapnya di https://t.co/udRPAIRQPg,2025-01-18 08:59:08+00:00
"Namun, pemecatan ini bukanlah yang pertama kali terjadi dalam sejarah Timnas Indonesia. Sebelumnya, beberapa pelatih juga mengalami nasib serupa, yang menciptakan kontroversi sama di kalangan publik.

#Pemecatan #Shintaeyong #PSSI #TimnasIndonesia",2025-01-18 08:59:07+00:00
"Pemecatan Shin Tae-yong (STY) menjadi perbincangan hangat di masyarakat Indonesia, kehebohan ini dipicu oleh pandangan publik yang menilai bahwa STY telah berhasil membawa Tim Nasional (Timnas) Indonesia ke level yang lebih tinggi selama lima tahun masa kepemimpinannya.",2025-01-18 08:59:07+00:00
RT @seniman_bola: Bung Erwin Fitriansyah: Dua kandidat pelatih timnas Indonesia yg lain selain Kluivert adalah Giovanni van Bronckhorst &amp; F…,2025-01-18 08:58:16+00:00
"RT @aingriwehuy: "" Emang perbedaan pendapat di dalam Timnas pelatih sama pemain itu biasa ya ka ? ""

Hamka Hamzah : "" kalau Timnas itu tida…",2025-01-18 08:58:11+00:00
@unmagnetism Emg Indonesia punya timnas un? bukanya timnas belanda ya wkwk,2025-01-18 08:56:40+00:00
"RT @idextratime: Abis ke minimarket beli minuman, terus nemu ini guys,  Indomilk Steril dengan gambar pemain Timnas dan ada coach Shin Tae-…",2025-01-18 08:56:22+00:00
"Rodrygo Goes, yang sering dijuluki ""Neymar baru"" oleh banyak penggemar sepak bola, berhasil menunjukkan kualitasnya dalam laga pramusim antara Real Madrid dan Bayern Muenchen. 

Jangan ketinggalan informasi berita seputaran timnas indonesia dan lain nya
https://t.co/XTQkyQ2sdR https://t.co/0EG9tWzgw4",2025-01-18 08:56:20+00:00
mayan buat nongton timnas di qwc https://t.co/d8lwH1h5ER,2025-01-18 08:56:17+00:00
"@labiebsadat Kelemahan dia di timnas biasanya kalo kena press dari lawan. Ya wajar sih lawannya juga udah beda level, sistem pressnya juga lebih rapi kalo lawannya elit.",2025-01-18 08:55:50+00:00
RT @idextratime: 🚨 BREAKING: Mathew Baker (LB/15/🇮🇩) mengumumkan lewat Story akun Instagramnya bahwa ia tidak akan lanjut di timnas Indones…,2025-01-18 08:55:46+00:00
RT @CTsubasa_indo: Yuzo Morisaki pemain yang menunda kuliahnya setelah lulus SMA demi masuk kedalam skuad Timnas Jepang untuk Turnamen Worl…,2025-01-18 08:55:10+00:00
RT @FandomID_: Mengapa Nurdin Halid kini muncul lagi dan banyak tampil di layar kaca setelah kepergian Shin Tae-yong dari kursi kepelatihan…,2025-01-18 08:55:09+00:00
"RT @idextratime: Abis ke minimarket beli minuman, terus nemu ini guys,  Indomilk Steril dengan gambar pemain Timnas dan ada coach Shin Tae-…",2025-01-18 08:55:04+00:00
"@LexWu_13 @CoachJustinL Udah tau lawan timnas
Bukannya parkir bus",2025-01-18 08:54:29+00:00
"@sunfloust loopy, di timnas kita ada loopy",2025-01-18 08:54:24+00:00
wts wtb jajan ready jual netflix murah sharing viu prime video lol vidio com platinum timnas bola indo canva bstation picsart vsco hbo go pro langganan nonton prem no ribet https://t.co/2rpNyicVOB,2025-01-18 08:54:05+00:00
RT @FandomID_: Ada satu nama menarik yang diisukan masuk ke dalam tim kepelatihan Timnas Indonesia era Patrick Kluivert. Nama tersebut adal…,2025-01-18 08:53:15+00:00
"RT @_BangFu: Naturalisasi tiap match

Ini timnas atau....",2025-01-18 08:52:49+00:00
"RT @jebreeetmedia: Matthew Baker tinggalkan TC Indonesia 🇮🇩 U-20 untuk bergabung dengan Indonesia 🇮🇩 U-17.

Baca juga penjelasan dari @indr…",2025-01-18 08:51:40+00:00
"@womensfootie_id @PSSI Sejak kapan PSSI waras, target final AFF putri ditambah pecat pelatih timnas senior dgn ngoceh sana-sini cari pembenaran, ujung-ujungnya ganti pelatih gk ada target lolos pildun, cb bilang gini Pasti dibilang penyepong sty dan gk mau timnas maju, dari dulu ET kebanyakan gimmick.",2025-01-18 08:51:32+00:00
RT @CTsubasa_indo: Yuzo Morisaki pemain yang menunda kuliahnya setelah lulus SMA demi masuk kedalam skuad Timnas Jepang untuk Turnamen Worl…,2025-01-18 08:51:23+00:00
"@wannafigh @convomf Ke stadion dukung timnas bukan federasi nya mungkin.

Sama sama anonym gak usah diributin",2025-01-18 08:50:30+00:00
RT @idextratime: 🚨 BREAKING: Mathew Baker (LB/15/🇮🇩) mengumumkan lewat Story akun Instagramnya bahwa ia tidak akan lanjut di timnas Indones…,2025-01-18 08:50:27+00:00
"@honeydewsummer @EkoKuchiki @psis_semarangg @Iqballon14 @edwinsdinata Kan saya punya pendapan pribadi, orang2 seperti pemain timnas jerman prancis menurutku pribadi juga mirip naturalisasi bahkan gak ada darah prancis sama sekali, hanya karena merka lahir dsana besar disana aja bedanya lu paham gak",2025-01-18 08:50:06+00:00
"Gervane Kastaneer masuk ke lapangan pada menit ke-52 menggantikan David da Silva yang cedera.

Namun, Bojan Hodak menilai pemain timnas Curacao itu belum menyatu dengan tim
https://t.co/Kr1vHBj71v",2025-01-18 08:50:00+00:00
"Gervane Kastaneer masuk ke lapangan pada menit ke-52 menggantikan David da Silva yang cedera.

Namun, Bojan Hodak menilai pemain timnas Curacao itu belum menyatu dengan tim
https://t.co/5dXzARFHcp",2025-01-18 08:50:00+00:00
"Matthew Baker tinggalkan TC Indonesia 🇮🇩 U-20 untuk bergabung dengan Indonesia 🇮🇩 U-17.

Baca juga penjelasan dari @indra_sjafri di slide kedua kenapa Matthew harus memilih salah satu Timnas kelompok usia ya 👌 https://t.co/pa6k61MRWE",2025-01-18 08:49:54+00:00
Timnas U17 Indonesia Menang Telak 13-0 dalam 3 Gim Melawan KKS Jateng ‼️ https://t.co/x7rAiuOUQL,2025-01-18 08:49:30+00:00
@ethandiegoperez @idextratime Tololll padahal di timnas nya syafri ada beberapa diaspora termasuk jens raven 🤣,2025-01-18 08:48:56+00:00
RT @Cintada16: Inilah momen saat hujan mengguyur Kota Bandung di tengah sesi latihan kedua Tim KKS jelang laga melawan Seleksi Timnas Indon…,2025-01-18 08:48:42+00:00
@punditgagal iyaa terimakasii timnas ku,2025-01-18 08:48:30+00:00
RT @okezonenews: @tang__kira Shin Tae-yong Akhirnya Ceritakan Kronologi Dipecat PSSI dari Kursi Pelatih Timnas Indonesia: Serba Mendadak!…,2025-01-18 08:48:14+00:00
@sidiq7 @budbud92 @kompascom Heh tolol si penyebar udah wanti wanti lebih dulu g usah usik sty nanti kalo masih usik bakal di doxing eh  malah semakin semangat mena padahal udah gak jabat pelatih timnas lagi tapi masih aja di nyinyirin. Mending lu tanya kenapa dia masih nyinyirin kalo gak lahan dia distop,2025-01-18 08:48:02+00:00
"RT @galeri_futsal: Head coach Timnas Futsal Indonesia 🇮🇩 @hecsouto bersama staff kepelatihannya menyempatkan diri untuk bermain bola ""tanpa…",2025-01-18 08:47:35+00:00
"RT @detikcom: Terima kasih Coach Shin! 

Selesai sudah tugas Shin Tae-yong melatih Timnas Indonesia. Juru taktik Korea Selatan itu resmi di…",2025-01-18 08:46:51+00:00
"RT @idextratime: Abis ke minimarket beli minuman, terus nemu ini guys,  Indomilk Steril dengan gambar pemain Timnas dan ada coach Shin Tae-…",2025-01-18 08:46:13+00:00
RT @_hellotias: coach shin kesayangan timnas ❤️ https://t.co/NdOBfQxozQ,2025-01-18 08:46:00+00:00
RT @fr_rudin: @detikcom Nanti barangkali netizen malah ngelaporin balik dia krn mencemarkan nama baik STY dan Timnas di era STY wkwk,2025-01-18 08:45:35+00:00
@Anif_1908 @idextratime ada aturan keknya gk boleh ikut di timnas kelompok umur yg berbeda,2025-01-18 08:45:20+00:00
"Sosok Patrick Kluivert di Mata Eks Pemainnya, Sebut Timnas Indonesia Akan seperti Ini

https://t.co/uZFXncCUOw",2025-01-18 08:45:00+00:00
RT @idextratime: 🚨 BREAKING: Mathew Baker (LB/15/🇮🇩) mengumumkan lewat Story akun Instagramnya bahwa ia tidak akan lanjut di timnas Indones…,2025-01-18 08:44:45+00:00
"RT @edwinsdinata: Prediksi saya (bisa saja salah), jika Indonesia lolos ke PD 2026 kedepannya aturan soal naturalisasi itu bisa saja akan d…",2025-01-18 08:44:26+00:00
"@my_supersoccer @TimnasIndonesia Keren banget liat Kluivert ikut andil di Timnas Indonesia, semoga bisa bawa perubahan positif!",2025-01-18 08:44:05+00:00
"Yordania &amp; Bahrain itu peringkat sedikit di atas. Sementara UEA, Lebanon, &amp; Palestina sedikit di bawah. Range selisih poin sama timnas putri masih ±200. Masih worth, lah buat ujicoba.

Mana sekawasan juga itu 5 timnas di atas",2025-01-18 08:44:03+00:00
"RT @punditgagal: Baru juga kemaren...!
🎼🎧
Udah ada aja nih lagu tentang perpisahan STY sama Timnas.

⚽⚽⚽... 
Lagunya gimana menurut lu guys…",2025-01-18 08:43:58+00:00
@punditgagal Sumpaaah timnas harus bisa sukses,2025-01-18 08:43:57+00:00
"RT @kiokio878: @aingriwehuy PSSI isi nya cuma bangke lama kacung mafia bola, ketum nya babi yg tiap tahun ngerugiin negara,gk becus memperb…",2025-01-18 08:43:40+00:00
RT @Bokeppin: Aril Tatum Kota Batu Ngekos #TOTLIV #BoycottForRll7E #ENHYPEN Timnas Febrizio Hujan #UGDarurat Pagi https://t.co/87hNmWCk0B,2025-01-18 08:43:21+00:00
@unmagnetism Semoga aja timnas bisa ikut piala dunia dan sudah gak sabar menunggu kesempatan itu,2025-01-18 08:43:13+00:00
RT @Cintada16: Inilah momen saat hujan mengguyur Kota Bandung di tengah sesi latihan kedua Tim KKS jelang laga melawan Seleksi Timnas Indon…,2025-01-18 08:43:08+00:00
"Beberapa minggu ini cukup ngikutin ProLiga 2025. Sepertinya timnas voli putri U21 Indonesia punya potensi dari nama-nama pemain muda yg tampil di ProLiga. Ada Junaida Santi, Gendis, Calista Maya, tinggal setternya yg belum keliatan banget...",2025-01-18 08:43:03+00:00
"Ini Dia Pandangan Bung Towel dan Nurdin Halid Tentang Problem Komunikasi di Timnas! #RCTIPlusSuperApp
https://t.co/oFl2kIVqvE https://t.co/AqPoxG0PlZ",2025-01-18 08:43:00+00:00
@andrepradana27 @voxtrot_ @edwinsdinata Maroko juga banyak naturalisasi keturunan. Apapun itu kayaknya Indonesia doang yg netizennya mau timnas berprestasi tapi mau bagus apa ga hasilnya banyak yg ngebacot di medsos. Kalau ga ada naturalisasi ga akan ada kita lihat pemain Timnas main di Serie A atau Eredivisie.,2025-01-18 08:42:05+00:00
"RT @suryaArtobudi: #jersey4sale @Jerseyforum
Timnas away 2022 rep
Size 2XL 
NNS ori, patch remake
Rp. 750.000

Timnas away 2024 Player Issu…",2025-01-18 08:41:50+00:00
RT @CTsubasa_indo: Yuzo Morisaki pemain yang menunda kuliahnya setelah lulus SMA demi masuk kedalam skuad Timnas Jepang untuk Turnamen Worl…,2025-01-18 08:41:48+00:00
"RT @WSA_medan: Bismillah
#jersey4sale

*psms training
4XL (80*64)
225k

*timnas
2XL (78*58)
Bnib
400k

*bfc
3XL (80*60)
300k

*persis
4XL (…",2025-01-18 08:41:26+00:00
